epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1580.67,1.18287,0.62585,0.94559,0.97034,0.95328,0.9693,0.67004,1.05715,0.52602,0.90434,0.005743,0.005743,0.005743
45,1616.45,1.18897,0.61843,0.94269,0.96609,0.9519,0.97508,0.67148,1.06108,0.52522,0.90205,0.005644,0.005644,0.005644
46,1652.29,1.17818,0.6207,0.93702,0.97726,0.95262,0.97244,0.6776,1.05479,0.52,0.90363,0.005545,0.005545,0.005545
47,1688.31,1.15589,0.60836,0.93232,0.98499,0.94922,0.97089,0.67139,1.05179,0.51742,0.90218,0.005446,0.005446,0.005446
48,1724.5,1.16115,0.6095,0.93465,0.97134,0.95968,0.9787,0.68147,1.04288,0.51617,0.90123,0.005347,0.005347,0.005347
49,1761.12,1.17855,0.6158,0.93283,0.98707,0.94973,0.97923,0.67375,1.05244,0.51173,0.89975,0.005248,0.005248,0.005248
50,1796.78,1.15392,0.60981,0.93439,0.97341,0.9518,0.9689,0.67007,1.03781,0.51531,0.90193,0.005149,0.005149,0.005149
51,1832.66,1.15309,0.60711,0.92998,0.98416,0.95025,0.97462,0.67374,1.04674,0.50162,0.90189,0.00505,0.00505,0.00505
52,1868.62,1.14001,0.59701,0.93174,0.97129,0.95216,0.97491,0.6822,1.02925,0.49804,0.89601,0.004951,0.004951,0.004951
53,1904.52,1.14574,0.5943,0.92706,0.9793,0.95142,0.97465,0.68936,1.01702,0.49289,0.89441,0.004852,0.004852,0.004852
54,1940.35,1.14473,0.5934,0.92834,0.97848,0.95858,0.97454,0.68706,1.01926,0.49317,0.89526,0.004753,0.004753,0.004753
55,1976.16,1.13084,0.58528,0.92605,0.96983,0.95865,0.97738,0.69614,1.01195,0.48572,0.89164,0.004654,0.004654,0.004654
56,2012.03,1.12745,0.58675,0.92883,0.97134,0.96219,0.97693,0.69327,1.01522,0.49317,0.89129,0.004555,0.004555,0.004555
57,2047.87,1.1339,0.58842,0.93196,0.98349,0.9564,0.9776,0.69447,1.00748,0.48481,0.89344,0.004456,0.004456,0.004456
58,2083.8,1.13049,0.58253,0.91986,0.97609,0.96869,0.98189,0.69882,1.00122,0.48502,0.89363,0.004357,0.004357,0.004357
59,2119.75,1.10639,0.57231,0.91566,0.97758,0.96136,0.97936,0.69717,0.99614,0.48366,0.89125,0.004258,0.004258,0.004258
60,2155.56,1.11534,0.57516,0.91282,0.9809,0.95765,0.97812,0.70039,0.99676,0.47899,0.89189,0.004159,0.004159,0.004159
61,2191.46,1.10791,0.57406,0.91814,0.98647,0.95283,0.98002,0.70021,1.00252,0.48316,0.89121,0.00406,0.00406,0.00406
62,2227.33,1.11548,0.57275,0.92086,0.98827,0.95754,0.98002,0.69949,0.98231,0.47282,0.88705,0.003961,0.003961,0.003961
63,2263.33,1.10391,0.56275,0.91598,0.98357,0.96048,0.98169,0.70122,0.9944,0.4711,0.89042,0.003862,0.003862,0.003862
64,2299.21,1.09894,0.56093,0.91763,0.97758,0.96214,0.9843,0.7034,0.97908,0.46508,0.88755,0.003763,0.003763,0.003763
65,2334.97,1.08541,0.55525,0.91127,0.98226,0.9592,0.98342,0.70785,0.98,0.46301,0.88652,0.003664,0.003664,0.003664
66,2371.13,1.07694,0.55395,0.91249,0.98135,0.95759,0.9842,0.708,0.96844,0.46353,0.88431,0.003565,0.003565,0.003565
67,2407.01,1.07836,0.55276,0.90809,0.98652,0.95531,0.98104,0.70775,0.97208,0.45984,0.88438,0.003466,0.003466,0.003466
68,2442.98,1.08204,0.55304,0.90918,0.98844,0.95427,0.98073,0.71095,0.97524,0.45835,0.88257,0.003367,0.003367,0.003367
69,2478.83,1.06602,0.54658,0.91101,0.97979,0.9652,0.98413,0.71333,0.96576,0.4561,0.87958,0.003268,0.003268,0.003268
70,2514.72,1.06641,0.54601,0.90842,0.97493,0.96664,0.98331,0.71181,0.96518,0.45396,0.8805,0.003169,0.003169,0.003169
71,2550.7,1.06469,0.53449,0.9087,0.98946,0.96165,0.98372,0.71742,0.96305,0.4508,0.88077,0.00307,0.00307,0.00307
72,2586.71,1.05654,0.53437,0.90589,0.98397,0.96383,0.98322,0.71599,0.9573,0.45089,0.87986,0.002971,0.002971,0.002971
73,2622.61,1.06656,0.53803,0.90926,0.98232,0.9649,0.98254,0.71387,0.96094,0.4525,0.87933,0.002872,0.002872,0.002872
74,2658.49,1.05282,0.53285,0.90458,0.98525,0.96028,0.98364,0.71128,0.96136,0.45111,0.87934,0.002773,0.002773,0.002773
75,2694.47,1.0367,0.52179,0.9059,0.98541,0.95701,0.98214,0.71862,0.95896,0.44731,0.87924,0.002674,0.002674,0.002674
76,2730.2,1.05041,0.52663,0.90042,0.97955,0.96304,0.98243,0.71863,0.94466,0.44222,0.87858,0.002575,0.002575,0.002575
77,2766.14,1.03883,0.51947,0.89818,0.97865,0.96902,0.98442,0.7195,0.94194,0.44087,0.87601,0.002476,0.002476,0.002476
78,2802.05,1.03904,0.52137,0.90103,0.98816,0.95538,0.97975,0.72268,0.94422,0.44348,0.88031,0.002377,0.002377,0.002377
79,2837.85,1.0375,0.5203,0.89926,0.98249,0.96923,0.98413,0.72344,0.94058,0.43834,0.87927,0.002278,0.002278,0.002278
80,2873.56,1.03443,0.5185,0.9005,0.98557,0.96687,0.98392,0.7218,0.94219,0.43783,0.87796,0.002179,0.002179,0.002179
81,2909.49,1.02922,0.51481,0.90232,0.98549,0.96314,0.9839,0.72302,0.93961,0.43604,0.8778,0.00208,0.00208,0.00208
82,2945.4,1.02799,0.51244,0.89704,0.98752,0.9627,0.98423,0.72467,0.93564,0.43495,0.87628,0.001981,0.001981,0.001981
83,2981.32,1.00632,0.50536,0.89981,0.98374,0.96329,0.98234,0.72717,0.93523,0.43342,0.87613,0.001882,0.001882,0.001882
84,3017.06,1.00147,0.4994,0.89405,0.98539,0.96904,0.98414,0.73099,0.92743,0.4309,0.87479,0.001783,0.001783,0.001783
85,3052.73,1.01875,0.50762,0.89903,0.98758,0.96972,0.98444,0.73011,0.92925,0.43059,0.87424,0.001684,0.001684,0.001684
86,3088.55,1.00492,0.5013,0.89303,0.98724,0.96997,0.98505,0.73017,0.92733,0.42912,0.87387,0.001585,0.001585,0.001585
87,3124.35,1.00605,0.49788,0.89847,0.98785,0.97038,0.98571,0.72862,0.93057,0.42697,0.87366,0.001486,0.001486,0.001486
88,3160.25,0.9953,0.48819,0.8897,0.98886,0.96911,0.98582,0.73271,0.92821,0.4252,0.87249,0.001387,0.001387,0.001387
89,3195.9,0.99118,0.48985,0.88871,0.98971,0.96896,0.9858,0.7345,0.92572,0.42443,0.87272,0.001288,0.001288,0.001288
90,3231.53,0.98917,0.48884,0.8944,0.98959,0.9677,0.98554,0.73493,0.92198,0.42353,0.87116,0.001189,0.001189,0.001189
91,3284.75,0.92311,0.44055,0.87308,0.98831,0.96967,0.98538,0.73106,0.92094,0.42418,0.87104,0.00109,0.00109,0.00109
92,3320.16,0.91419,0.43785,0.86922,0.98609,0.97084,0.9847,0.73214,0.91901,0.42445,0.87186,0.000991,0.000991,0.000991
93,3355.44,0.91281,0.43431,0.86988,0.98928,0.96796,0.98511,0.73299,0.91374,0.42175,0.87152,0.000892,0.000892,0.000892
94,3390.67,0.90484,0.43013,0.86548,0.99196,0.96847,0.98632,0.73328,0.91263,0.41927,0.8703,0.000793,0.000793,0.000793
95,3425.91,0.89403,0.42386,0.85994,0.99125,0.96882,0.98618,0.73613,0.90998,0.41927,0.86988,0.000694,0.000694,0.000694
96,3461.38,0.88797,0.42216,0.86007,0.98944,0.9688,0.98614,0.73618,0.9058,0.41781,0.86932,0.000595,0.000595,0.000595
97,3496.55,0.89282,0.42221,0.86169,0.98969,0.96876,0.98532,0.73401,0.90499,0.4178,0.86929,0.000496,0.000496,0.000496
98,3531.69,0.88819,0.41935,0.8603,0.98976,0.969,0.98661,0.73471,0.90559,0.4173,0.86994,0.000397,0.000397,0.000397
99,3567,0.88134,0.41402,0.86091,0.99066,0.96839,0.98665,0.73676,0.90352,0.41641,0.86936,0.000298,0.000298,0.000298
100,3602.21,0.87358,0.40851,0.85812,0.99019,0.96881,0.98558,0.73654,0.90258,0.41596,0.8689,0.000199,0.000199,0.000199
