epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,494.129,1.7326,2.62739,1.0906,0.76152,0.70782,0.76807,0.40812,1.54222,2.1804,1.02486,0.000415704,0.000415704,0.000415704
2,974.23,1.61187,1.39757,1.0481,0.91513,0.82934,0.89177,0.49924,1.4781,1.10059,1.01383,0.000667562,0.000667562,0.000667562
3,1459.15,1.54667,1.09921,1.02643,0.92094,0.82312,0.90748,0.52084,1.4075,0.92767,0.99366,0.000754419,0.000754419,0.000754419
4,1940.36,1.44559,0.9319,0.99385,0.93289,0.86319,0.92527,0.5418,1.31875,0.82058,0.96323,0.0005075,0.0005075,0.0005075
5,2415.82,1.35859,0.82048,0.96189,0.96998,0.90004,0.94558,0.59876,1.24403,0.71599,0.92367,0.00026,0.00026,0.00026
