epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1389,1.70645,2.58363,1.08842,0.87823,0.7762,0.83312,0.45963,1.48426,1.26685,1.02879,0.000415704,0.000415704,0.000415704
2,82.1922,1.5731,1.35024,1.03259,0.90415,0.80175,0.88167,0.49229,1.50402,0.96186,1.03391,0.000667562,0.000667562,0.000667562
3,120.341,1.50185,1.07701,1.01942,0.90398,0.82302,0.88742,0.53275,1.39156,0.84549,0.99627,0.000754419,0.000754419,0.000754419
4,160.538,1.4299,0.90946,0.98723,0.94748,0.88896,0.93703,0.56859,1.35996,0.74575,0.95606,0.0005075,0.0005075,0.0005075
5,198.32,1.34144,0.80177,0.96312,0.95909,0.91893,0.94804,0.60324,1.21176,0.65823,0.92488,0.00026,0.00026,0.00026
